h_id,AGEP,RELP,SEX,RACAIAN,RACASN,RACBLK,RACNHPI,RACSOR,RACWHT,isHISP,RACNUM
93459090,18,2,1,0,0,0,0,0,1,0,1
93459090,60,8,1,0,0,0,0,0,1,0,1
93459090,60,8,2,0,0,0,0,0,1,0,1
93459090,40,12,2,0,0,0,0,0,1,0,1
93459091,40,0,1,0,0,0,0,0,1,0,1
93459091,35,1,2,0,0,0,0,0,1,0,1
93459091,18,2,1,0,0,0,0,0,1,0,1
93459091,60,8,1,0,0,0,0,0,1,0,1
93459091,60,8,2,0,0,0,0,0,1,0,1
93459091,40,12,2,0,0,0,0,0,1,0,1
93459092,40,0,1,0,0,0,0,0,1,0,1
93459092,35,1,2,0,0,0,0,0,1,0,1
93459092,18,2,1,0,0,0,0,0,1,0,1
93459092,60,8,1,0,0,0,0,0,1,0,1
93459092,60,8,2,0,0,0,0,0,1,0,1
93459092,40,12,2,0,0,0,0,0,1,0,1
93459093,40,0,1,0,0,0,0,0,1,0,1
93459093,35,1,2,0,0,0,0,0,1,0,1
93459093,18,2,1,0,0,0,0,0,1,0,1
93459093,60,8,1,0,0,0,0,0,1,0,1
93459093,60,8,2,0,0,0,0,0,1,0,1
93459093,40,12,2,0,0,0,0,0,1,0,1
93459094,40,0,1,0,0,0,0,0,1,0,1
93459094,35,1,2,0,0,0,0,0,1,0,1
93459094,18,2,1,0,0,0,0,0,1,0,1
93459094,60,8,1,0,0,0,0,0,1,0,1
93459094,60,8,2,0,0,0,0,0,1,0,1
93459094,40,12,2,0,0,0,0,0,1,0,1
93459095,40,0,1,0,0,0,0,0,1,0,1
93459095,35,1,2,0,0,0,0,0,1,0,1
93459095,18,2,1,0,0,0,0,0,1,0,1
93459095,60,8,1,0,0,0,0,0,1,0,1
93459095,60,8,2,0,0,0,0,0,1,0,1
93459095,40,12,2,0,0,0,0,0,1,0,1
93459096,40,0,1,0,0,0,0,0,1,0,1
93459096,35,1,2,0,0,0,0,0,1,0,1
93459096,18,2,1,0,0,0,0,0,1,0,1
93459096,60,8,1,0,0,0,0,0,1,0,1
93459096,60,8,2,0,0,0,0,0,1,0,1
93459096,40,12,2,0,0,0,0,0,1,0,1
93459097,40,0,1,0,0,0,0,0,1,0,1
93459097,35,1,2,0,0,0,0,0,1,0,1
93459097,18,2,1,0,0,0,0,0,1,0,1
93459097,60,8,1,0,0,0,0,0,1,0,1
93459097,60,8,2,0,0,0,0,0,1,0,1
93459097,40,12,2,0,0,0,0,0,1,0,1
93459098,40,0,1,0,0,0,0,0,1,0,1
93459098,35,1,2,0,0,0,0,0,1,0,1
93459098,18,2,1,0,0,0,0,0,1,0,1
93459098,60,8,1,0,0,0,0,0,1,0,1
93459098,60,8,2,0,0,0,0,0,1,0,1
93459098,40,12,2,0,0,0,0,0,1,0,1
93459099,40,0,1,0,0,0,0,0,1,0,1
93459099,35,1,2,0,0,0,0,0,1,0,1
93459099,18,2,1,0,0,0,0,0,1,0,1
93459099,60,8,1,0,0,0,0,0,1,0,1
93459099,60,8,2,0,0,0,0,0,1,0,1
93459099,40,12,2,0,0,0,0,0,1,0,1
93459100,40,0,1,0,0,0,0,0,1,0,1
93459100,35,1,2,0,0,0,0,0,1,0,1
93459100,18,2,1,0,0,0,0,0,1,0,1
93459100,60,8,1,0,0,0,0,0,1,0,1
93459100,60,8,2,0,0,0,0,0,1,0,1
93459100,40,12,2,0,0,0,0,0,1,0,1
93459101,40,0,1,0,0,0,0,0,1,0,1
93459101,35,1,2,0,0,0,0,0,1,0,1
93459101,18,2,1,0,0,0,0,0,1,0,1
93459101,60,8,1,0,0,0,0,0,1,0,1
93459101,60,8,2,0,0,0,0,0,1,0,1
93459101,40,12,2,0,0,0,0,0,1,0,1
93459102,40,0,1,0,0,0,0,0,1,0,1
93459102,35,1,2,0,0,0,0,0,1,0,1
93459102,18,2,1,0,0,0,0,0,1,0,1
93459102,60,8,1,0,0,0,0,0,1,0,1
93459102,60,8,2,0,0,0,0,0,1,0,1
93459102,40,12,2,0,0,0,0,0,1,0,1
93459103,40,0,1,0,0,0,0,0,1,0,1
93459103,35,1,2,0,0,0,0,0,1,0,1
93459103,18,2,1,0,0,0,0,0,1,0,1
93459103,60,8,1,0,0,0,0,0,1,0,1
93459103,60,8,2,0,0,0,0,0,1,0,1
93459103,40,12,2,0,0,0,0,0,1,0,1
93459104,40,0,1,0,0,0,0,0,1,0,1
93459104,35,1,2,0,0,0,0,0,1,0,1
93459104,18,2,1,0,0,0,0,0,1,0,1
93459104,60,8,1,0,0,0,0,0,1,0,1
93459104,60,8,2,0,0,0,0,0,1,0,1
93459104,40,12,2,0,0,0,0,0,1,0,1
93459105,40,0,1,0,0,0,0,0,1,0,1
